商品資料彙總清單 (Camping Gear List),,,,,,,,,,,,,,,,,,,,,,,
商品類別,商品編號,品牌,品名,重量,兩天一夜租金,續租日租金,押金,上架狀態,出租中 / 歸還日,預約,帳篷容量,帳篷結構,背包容量,背包背長,背包腰圍,背包限重,睡袋款式,睡袋羽絨等級,睡袋羽絨填充量,睡袋適合身高,睡袋舒適溫度,睡袋極限溫度,其他規格說明
輕量化帳篷,#UT001,三峰出,藍山PRO2 輕量雙人帳,910g,$490,$100,"$1,000",已上架,,,雙人帳,非自立帳(需2支登山杖),,,,,,,,,,,
輕量化帳篷,#UT002,三峰出,藍山PRO1 輕量單人帳,690g,$450,$100,"$1,000",已上架,2026/7/24,,單人帳,非自立帳(需1支登山杖),,,,,,,,,,,
輕量化帳篷,#UT003,Gossamer Gear,The Two 輕量雙人帳,667g,$990,$150,"$2,000",已上架,2026/7/24,,雙人帳,非自立帳(需2支登山杖),,,,,,,,,,,
輕量化帳篷,#UT004,Gossamer Gear,The One 輕量單人帳,503g,$790,$150,"$2,000",已上架,2026/7/19,7/20 2天 郭小姐,單人帳,非自立帳(需2支登山杖),,,,,,,,,,,
輕量化帳篷,#UT005,Tarptent,Double Rainbow 輕量雙人帳,1017g,$990,$150,"$2,000",已上架,,,雙人帳,半自立帳,,,,,,,,,,,
輕量化帳篷,#UT006,Durston Gear,X-Mid 2 輕量雙人帳,1005g,$990,$150,"$2,000",已上架,,,雙人帳,非自立帳(需2支登山杖),,,,,,,,,,,
輕量化帳篷,#UT007,Naturehike,10D 超輕版雙人帳,930g,$490,$100,"$1,000",未到貨,,,雙人帳,自立帳,,,,,,,,,,,
輕量化背包,#UB001,神秘農場,In and out 22L 攻頂包,400g,$180,$50,$500,已上架,,,,,22L,N/A,N/A,N/A,,,,,,,
輕量化背包,#UB002,神秘農場,In and out 19L 攻頂包,400g,$180,$50,$500,已上架,,,,,19L,N/A,N/A,N/A,,,,,,,
輕量化背包,#UB003,Gossamer Gear,Minimalist 19L 攻頂包,331g,$180,$50,$500,已上架,,,,,19L,N/A,N/A,9kg,,,,,,,
輕量化背包,#UB004,Salomon,XA-25 野跑包 (M/L),443g,$390,$100,"$1,000",已上架,,,,,25L,48~54 cm,N/A,N/A,,,,,,,
輕量化背包,#UB005,Hanchor,PUMICE 極輕量 登山背包 37L 黑,378g,$350,$100,"$1,000",已上架,2026/7/19,7/20 2天 郭小姐,,,37L,N/A,N/A,8kg,,,,,,,
輕量化背包,#UB006,Hanchor,PUMICE 極輕量 登山背包 37L 綠,378g,$350,$100,"$1,000",已上架,,,,,37L,N/A,N/A,8kg,,,,,,,
輕量化背包,#UB007,Granite Gear,Crown2 60L S 號,990g,$390,$100,"$1,000",已上架,,,,,60L,38 - 46 cm,26 - 42 inch,15kg,,,,,,,
輕量化背包,"#UB008, #UB009",Granite Gear,Crown2 60L M 號,990g,$390,$100,"$1,000",已上架,,,,,60L,46 - 53.5 cm,26 - 42 inch,15kg,,,,,,,
輕量化背包,#UB010,Granite Gear,Crown2 60L L 號,1040g,$390,$100,"$1,000",已上架,,,,,60L,53.5 ~ 64 cm,26 ~ 42 inch,15kg,,,,,,,
輕量化背包,#UB011,Sierra Designs,"Flex Capacitor 40-60 黑 (M/L, S/M)",1160g,$490,$100,"$1,000",已上架,,,,,40~60L,45.7 ~ 53.3 cm,26 ~ 38 inch,22kg,,,,,,,
輕量化背包,#UB012,Durston,Kakwa 40L S 號,750g,$690,$150,"$2,000",已上架,2026/7/24,,,,40L,37 ~ 45 cm,28 ~ 35 inch,20kg,,,,,,,
輕量化背包,#UB013,Durston,Kakwa 40L M 號,775g,$690,$150,"$2,000",已上架,,,,,40L,42 ~ 50 cm,29 ~ 38 inch,20kg,,,,,,,
輕量化背包,#UB014,Durston,Kakwa 40L L 號,800g,$690,$150,"$2,000",已上架,2026/7/24,,,,40L,47 ~ 55 cm,30 ~ 40 inch,20kg,,,,,,,
輕量化背包,#UB015,山と道Yamatomichi,THREE 40L M 號,602g,$790,$150,"$2,000",已上架,,,,,40L,45 ~ 48 cm,N/A,10kg,,,,,,,
輕量化背包,#UB016,山と道Yamatomichi,THREE 45L L 號,649g,$790,$150,"$2,000",已上架,,,,,45L,54~57 cm,N/A,10kg,,,,,,,
輕量化背包,#UB017,山と道Yamatomichi,ONE 50L 背長51cm,538g,$990,$200,"$2,000",已上架,,,,,50L,51cm,S:78-85/M:84-92/L:91-100 cm,11kg,,,,,,,
輕量化背包,#UB018,Bonfus,Framus 58L UltraX Black S號,730g,"$1,290",$200,"$2,000",已上架,,,,,58L,35~43 cm,29.5 ~ 39 inch,18kg,,,,,,,
輕量化背包,#UB019,Bonfus,Framus 58L UltraX Black M號,770g,"$1,290",$200,"$2,000",已上架,,,,,58L,43 ~ 49.5 cm,33 ~ 43 inch,18kg,,,,,,,
輕量化睡袋,#US001,,無底睡袋 可全開,570g,$490,$100,"$1,000",送洗,,,,,,,,,可全開,1000FP,370g,< 165cm,-3°C,-7°C,
輕量化睡袋,#US002,,無底睡袋 可全開,587g,$490,$100,"$1,000",送洗,,,,,,,,,可全開,900FP,410g,< 188cm,-3°C,-7°C,
輕量化睡袋,#US003,,無底睡袋 半開,490g,$490,$100,"$1,000",已上架,,,,,,,,,半開,900FP,350g,< 175cm,-2°C,-6°C,
輕量化睡袋,#US004,,無底睡袋 半開,490g,$490,$100,"$1,000",已上架,,,,,,,,,半開,900FP,350g,< 175cm,-2°C,-6°C,
輕量化睡袋,#US005,,木乃伊睡袋,615g,$490,$100,"$1,000",已上架,2026/7/19,,,,,,,,木乃伊,900FP,400g,< 168cm,-4°C,-7°C,
輕量化睡袋,#US006,,木乃伊睡袋,715g,$590,$100,"$1,000",已上架,,,,,,,,,木乃伊,900FP,500g,< 168cm,-6°C,-9°C,
輕量化睡袋,#US007,,木乃伊睡袋,710g,$490,$100,"$1,000",已上架,2026/7/24,,,,,,,,木乃伊,900FP,468g,< 180cm,-4°C,-7°C,
輕量化睡袋,#US008,,木乃伊睡袋,792g,$590,$100,"$1,000",已上架,2026/7/24,,,,,,,,木乃伊,900FP,550g,< 180cm,-6°C,-9°C,
其他裝備,,OWG,蛋殼睡墊RPO,400g,$90,$30,,已上架,,7/20 2天 郭小姐,,,,,,,,,,,,,R值：2.1（ASTM F3340-18） | 展開尺寸：183cm*60cm*2cm | 收納尺寸：60cm*15cm*13cm
其他裝備,,OWG,蛋殼睡墊AIR,310g,$90,$30,,已上架,,,,,,,,,,,,,,,R值：1.8（ASTM F3340-18） | 展開尺寸：183cm*55cm*1.8cm | 收納尺寸：55cm*13cm*14.5cm
其他裝備,,NITECORE,20000mAh 碳纖維輕量行動電源,324.5g,$190,$50,$500,已上架,2026/7/19,,,,,,,,,,,,,,容量：20000mAh | 防水等級 : IPX5 | 可同時為三部設備充電 (USB-C、USB-A x2)
